,user_id,input_message_kid,stage,total_attempts_in_stage,grade_norm,pre-score_norm,stage_norm,failed_attempts_norm,pos_norm,neg_norm,hel_norm,anxiety_norm,action,output,postive_feedback,reward,grade,completed,pre,post,adjusted_score,anxiety,time_stored
356,184,"I need a hint, not all of those choclate fit in the length of the box.",,,0.,0.5,-0.33333333,-0.8,-0.678,-1.,1.,-0.72222222,2,"The sooner we finish, the sooner we can cross the river on that boat! Let’s get to it!",None,2.001,3,True,6,8,2,14,"11-09-2020-19:42:04-PST
"
357,186,ok,1,2,0.,-1.,-0.66666667,-0.8,1.,-1.,-0.1063473,-0.61111111,2,I’m so glad you’re here to help. I know you can solve this problem!,True,0.1,3,True,0,1,1,16,"11-09-2020-20:17:16-PST
"
358,186,I am not sure how to answer this question,3,13,0.,-1.,0.,0.3,-1.,-0.562,1.,-0.61111111,0,"You can fit 3 chocolates along the height, 5 chocolates along the width, and 6 chocolates along the length of the box.",None,0.01,3,True,0,1,1,16,"11-09-2020-20:17:16-PST
"
359,186,ok,3,13,0.,-1.,0.,0.3,1.,-1.,-0.1063473,-0.61111111,2,We need to solve this problem to stop the natural disaster. I believe in you!,None,0.0,3,True,0,1,1,16,"11-09-2020-20:17:16-PST
"
360,186,I don't know how to do it,3,13,0.,-1.,0.,0.3,-1.,-1.,1.,-0.61111111,0,A unit cube is a cube of which each side is 1 unit long. The volume of a unit cube is one cubic unit.,None,0.01,3,True,0,1,1,16,"11-09-2020-20:17:16-PST
"
361,186,I tried but it still is not right,3,13,0.,-1.,0.,0.3,-1.,-1.,-0.03631976,-0.61111111,0,Think about how to calculate volume with multiplication.,None,0.01,3,True,0,1,1,16,"11-09-2020-20:17:16-PST
"
362,186,I am still not sure how to answer this question,3,13,0.,-1.,0.,0.3,-1.,-0.606,1.,-0.61111111,2,I love a good challenge. Let’s regroup and think about this some more.,None,0.0,3,True,0,1,1,16,"11-09-2020-20:17:16-PST
"
363,186,I still don't know,3,13,0.,-1.,0.,0.3,-1.,-1.,1.,-0.61111111,0,"You won't be able to calculate volume by dragging the chocolate over the box, since it's three-dimensional! Try to use an equation to find the volume:",None,0.01,3,True,0,1,1,16,"11-09-2020-20:17:16-PST
"
364,186,thank you,,,0.,-1.,0.,0.3,0.428,-1.,-0.03507275,-0.61111111,2,We’re almost there! We’re so close to getting to cross the river and saving the villagers from the fire.,None,0.9489999999999998,3,True,0,1,1,16,"11-09-2020-20:17:16-PST
"
378,199,Ok.,0,1,-1.,1.,-1.,-0.9,1.,-1.,-0.1063473,-0.44444444,0,You can move your mouse close to the box to turn it into a chocolate!,True,0.11,2,True,8,8,0,19,"11-10-2020-10:26:29-PST
"
379,199,It worked,0,1,-1.,1.,-1.,-0.9,-1.,-1.,-0.0572697,-0.44444444,2,We’re almost there! We’re so close to getting to cross the river and saving the villagers from the fire.,None,0.0,2,True,8,8,0,19,"11-10-2020-10:26:29-PST
"
380,199,We have to figure out the height first.,0,1,-1.,1.,-1.,-0.9,-1.,-1.,-0.03161268,-0.44444444,2,"This problem is tough, but I know that we can finish it if we think hard enough. Keep trying!",True,0.1,2,True,8,8,0,19,"11-10-2020-10:26:29-PST
"
381,199,ok,0,1,-1.,1.,-1.,-0.9,1.,-1.,-0.1063473,-0.44444444,1,:),True,0.1,2,True,8,8,0,19,"11-10-2020-10:26:29-PST
"
382,199,I think the answer is 3chocolates for the height.,0,1,-1.,1.,-1.,-0.9,-1.,-1.,1.,-0.44444444,2,You’re doing a great job so far. Just keep trying!,True,0.1,2,True,8,8,0,19,"11-10-2020-10:26:29-PST
"
383,199,Thank you,2,1,-1.,1.,-0.33333333,-0.9,0.428,-1.,-0.03507275,-0.44444444,3,Hm... let's keep thinking!,True,0.1,2,True,8,8,0,19,"11-10-2020-10:26:29-PST
"
384,199,We got the 3rd one right!,3,1,-1.,1.,0.,-0.9,-1.,-1.,-0.03161268,-0.44444444,1,:),True,0.1,2,True,8,8,0,19,"11-10-2020-10:26:29-PST
"
385,199,Let's keep thinking.,3,1,-1.,1.,0.,-0.9,-1.,-1.,-0.04256661,-0.44444444,0,"You can fit 3 chocolates along the height, 5 chocolates along the width, and 6 chocolates along the length of the box.",True,0.11,2,True,8,8,0,19,"11-10-2020-10:26:29-PST
"
386,199,Ok.,3,1,-1.,1.,0.,-0.9,1.,-1.,-0.1063473,-0.44444444,3,Hm… I suggest thinking about the concept of a unit cube and the volume of a unit cube. It may remind you of what you need in order to calculate the volume of the box!,True,0.1,2,True,8,8,0,19,"11-10-2020-10:26:29-PST
"
387,199,We got the first one right!,1,1,-1.,1.,-0.66666667,-0.9,-1.,-1.,-0.03161268,-0.44444444,2,"You’re doing a great job. If we keep working like this, we’ll be done in no time!",True,0.1,2,True,8,8,0,19,"11-10-2020-10:26:29-PST
"
388,199,yeah,1,1,-1.,1.,-0.66666667,-0.9,1.,-1.,-0.1440913,-0.44444444,2,I’m so glad you’re here to help. I know you can solve this problem!,True,0.1,2,True,8,8,0,19,"11-10-2020-10:26:29-PST
"
389,199,We got another one correct!,2,1,-1.,1.,-0.33333333,-0.9,-1.,-1.,-0.03161268,-0.44444444,2,You’re doing a great job so far. Just keep trying!,True,0.1,2,True,8,8,0,19,"11-10-2020-10:26:29-PST
"
390,199,We got another one right!,4,1,-1.,1.,0.33333333,-0.9,-1.,-1.,-0.03161268,-0.44444444,1,:),True,0.1,2,True,8,8,0,19,"11-10-2020-10:26:29-PST
"
391,199,Do you think we multiply or divide.,4,1,-1.,1.,0.33333333,-0.9,-1.,-1.,1.,-0.44444444,1,:),True,0.1,2,True,8,8,0,19,"11-10-2020-10:26:29-PST
"
392,199,ok,5,1,-1.,1.,0.66666667,-0.9,1.,-1.,-0.1063473,-0.44444444,1,:),True,0.1,2,True,8,8,0,19,"11-10-2020-10:26:29-PST
"
393,199,Also we got another one right!,5,1,-1.,1.,0.66666667,-0.9,-1.,-1.,-0.03161268,-0.44444444,0,"Remember that, the weight of the box of chocolates can’t be more than 200 ounces.",True,0.11,2,True,8,8,0,19,"11-10-2020-10:26:29-PST
"
394,199,smaller.,5,1,-1.,1.,0.66666667,-0.9,-1.,-1.,-0.20563251,-0.44444444,0,"Because 180 is smaller than 200, you should be safe to board the boat with the chocolates.",True,0.11,2,True,8,8,0,19,"11-10-2020-10:26:29-PST
"
395,199,Ok.Thanks for the hint!,,,-1.,1.,0.66666667,-0.9,-1.,-1.,1.,-0.44444444,1,:),True,0.049,2,True,8,8,0,19,"11-10-2020-10:26:29-PST
"
396,202,300?,3,4,0.,-0.25,0.,-0.6,-1.,-1.,-1.,-0.27777778,0,"You can fit 3 chocolates along the height, 5 chocolates along the width, and 6 chocolates along the length of the box.",None,0.01,3,True,3,6,3,22,"11-10-2020-11:02:06-PST
"
397,202,300?,,,0.,-0.25,0.,-0.6,-1.,-1.,-1.,-0.27777778,0,A unit cube is a cube of which each side is 1 unit long. The volume of a unit cube is one cubic unit.,None,2.985,3,True,3,6,3,22,"11-10-2020-11:02:06-PST
"
398,227,wait,1,4,1.,1.,-0.66666667,-0.6,-1.,-1.,-0.10850284,-0.55555556,0,You have seen all the hints. Try your best to answer the question!,None,0.01,4,True,8,7,0,17,"11-10-2020-15:26:47-PST
"
399,227,but in that picture theres a space at the right,1,4,1.,1.,-0.66666667,-0.6,-1.,-1.,-0.0460712,-0.55555556,0,You have seen all the hints. Try your best to answer the question!,None,0.01,4,True,8,7,0,17,"11-10-2020-15:26:47-PST
"
400,227,ughhhhh,1,4,1.,1.,-0.66666667,-0.6,-1.,-1.,-1.,-0.55555556,0,You have seen all the hints. Try your best to answer the question!,None,0.01,4,True,8,7,0,17,"11-10-2020-15:26:47-PST
"
401,227,its 5.5,1,4,1.,1.,-0.66666667,-0.6,-1.,-1.,-0.15751746,-0.55555556,2,You’re doing a great job so far. Just keep trying!,None,0.0,4,True,8,7,0,17,"11-10-2020-15:26:47-PST
"
402,227,help,1,4,1.,1.,-0.66666667,-0.6,1.,-1.,1.,-0.55555556,1,:),None,0.0,4,True,8,7,0,17,"11-10-2020-15:26:47-PST
"
403,227,nooooo,1,4,1.,1.,-0.66666667,-0.6,-1.,-1.,-0.29355082,-0.55555556,2,I’m so glad you’re here to help. I know you can solve this problem!,None,0.0,4,True,8,7,0,17,"11-10-2020-15:26:47-PST
"
404,227,'elp me uglyface,1,4,1.,1.,-0.66666667,-0.6,-1.,-1.,-0.03887937,-0.55555556,0,You can move your mouse close to the box to turn it into a chocolate!,None,0.01,4,True,8,7,0,17,"11-10-2020-15:26:47-PST
"
405,227,yeah yeah ok,1,4,1.,1.,-0.66666667,-0.6,1.,-1.,-0.1063473,-0.55555556,3,Hm... let's keep thinking!,None,0.0,4,True,8,7,0,17,"11-10-2020-15:26:47-PST
"
406,227,YOURE not thinking,1,4,1.,1.,-0.66666667,-0.6,-1.,-1.,-0.04149085,-0.55555556,0,Move your mouse along the width to count how many chocolates would fit along the width.,None,0.01,4,True,8,7,0,17,"11-10-2020-15:26:47-PST
"
407,227,thanks a lot uglyface,1,4,1.,1.,-0.66666667,-0.6,0.184,-1.,-0.0583898,-0.55555556,0,"By sliding the chocolate along the width of the box and using the chocolate as a reference, you will find that the width fits 5 chocolates.",None,0.01,4,True,8,7,0,17,"11-10-2020-15:26:47-PST
"
408,227,that is NOT five,1,4,1.,1.,-0.66666667,-0.6,-1.,-1.,-0.04149085,-0.55555556,0,You have seen all the hints. Try your best to answer the question!,None,0.01,4,True,8,7,0,17,"11-10-2020-15:26:47-PST
"
409,227,MEANIEE,1,4,1.,1.,-0.66666667,-0.6,-1.,-1.,-1.,-0.55555556,0,You have seen all the hints. Try your best to answer the question!,None,0.01,4,True,8,7,0,17,"11-10-2020-15:26:47-PST
"
410,227,i dont like this move the choco around thing,4,3,1.,1.,0.33333333,-0.7,-1.,-0.536,1.,-0.55555556,0,"To calculate the weight of the box of chocolates, you can multiply the weight of each chocolate and the total number of chocolates you have in the box.",None,0.01,4,True,8,7,0,17,"11-10-2020-15:26:47-PST
"
411,227,its innacurate,4,3,1.,1.,0.33333333,-0.7,-1.,-1.,-0.15751746,-0.55555556,0,"If you multiply the weight per chocolate with the number of chocolates, you will get how much the box of chocolates weighs.",None,0.01,4,True,8,7,0,17,"11-10-2020-15:26:47-PST
"
412,227,i never asked for a hint uglyface,,,1.,1.,0.33333333,-0.7,-1.,-1.,1.,-0.55555556,3,Hm... let's keep thinking!,None,-0.129,4,True,8,7,0,17,"11-10-2020-15:26:47-PST
"
413,230,how do we find out how to do this?,3,4,1.,0.,0.,-0.6,-1.,-1.,1.,-0.33333333,1,:),None,0.0,4,True,4,7,3,21,"11-10-2020-16:24:05-PST
"
414,230,cool!,,,1.,0.,-0.33333333,-0.9,1.,-1.,-0.14831369,-0.33333333,0,You can move your mouse close to the box to turn it into a chocolate!,True,3.098,4,True,4,7,3,21,"11-10-2020-16:24:05-PST
"
415,231,?,,,-1.,1.,0.33333333,-0.8,-1.,-1.,-1.,-0.61111111,3,"Think of what equation to use to calculate the total weight, when you know the number of chocolate and how much each chocolate weighs.",None,0.001,2,True,8,5,0,16,"11-10-2020-17:06:12-PST
"
416,233,hmmm,1,10,0.,0.,-0.66666667,0.,-1.,-1.,-0.17455017,-0.77777778,1,:),None,0.0,3,True,4,3,3,13,"11-11-2020-12:14:26-PST
"
417,233,can I go to the bathroom,0,7,0.,0.,-1.,-0.3,-1.,-1.,-0.03631976,-0.77777778,1,:),True,0.1,3,True,4,3,3,13,"11-11-2020-12:14:26-PST
"
418,233,hi,0,7,0.,0.,-1.,-0.3,-1.,-1.,-0.29048756,-0.77777778,0,You can move your mouse close to the box to turn it into a chocolate!,None,0.01,3,True,4,3,3,13,"11-11-2020-12:14:26-PST
"
419,233,can you help me,0,7,0.,0.,-1.,-0.3,-0.052,-1.,1.,-0.77777778,2,I’m so glad you’re here to help. I know you can solve this problem!,None,0.0,3,True,4,3,3,13,"11-11-2020-12:14:26-PST
"
420,233,please,0,7,0.,0.,-1.,-0.3,1.,-1.,-0.14122125,-0.77777778,1,:),None,0.0,3,True,4,3,3,13,"11-11-2020-12:14:26-PST
"
421,233,no!,0,7,0.,0.,-1.,-0.3,-1.,1.,-0.06320011,-0.77777778,0,Move your mouse along the height to count how many chocolates would fit along the height.,None,0.01,3,True,4,3,3,13,"11-11-2020-12:14:26-PST
"
422,233,lets brain storm,0,7,0.,0.,-1.,-0.3,-1.,-1.,-0.1721553,-0.77777778,2,You’re doing awesome! We’re so close to figuring this out and convincing the captain to let us board the boat.,None,0.0,3,True,4,3,3,13,"11-11-2020-12:14:26-PST
"
423,233,I need help,0,7,0.,0.,-1.,-0.3,0.46,-1.,1.,-0.77777778,1,:),True,0.1,3,True,4,3,3,13,"11-11-2020-12:14:26-PST
"
424,233,not helpful,0,7,0.,0.,-1.,-0.3,-1.,0.4,1.,-0.77777778,1,:),True,0.1,3,True,4,3,3,13,"11-11-2020-12:14:26-PST
"
425,233,hi,0,7,0.,0.,-1.,-0.3,-1.,-1.,-0.29048756,-0.77777778,2,The people in the village need you! Keep working hard.,None,0.0,3,True,4,3,3,13,"11-11-2020-12:14:26-PST
"
426,233,I cant do it,0,7,0.,0.,-1.,-0.3,-1.,-1.,1.,-0.77777778,2,You’re doing awesome! We’re so close to figuring this out and convincing the captain to let us board the boat.,True,0.1,3,True,4,3,3,13,"11-11-2020-12:14:26-PST
"
427,233,help,0,7,0.,0.,-1.,-0.3,1.,-1.,1.,-0.77777778,1,:),None,0.0,3,True,4,3,3,13,"11-11-2020-12:14:26-PST
"
428,233,Whats your name,0,7,0.,0.,-1.,-0.3,-1.,-1.,-0.10675704,-0.77777778,2,This problem doesn’t stand a chance against us!,None,0.0,3,True,4,3,3,13,"11-11-2020-12:14:26-PST
"
429,233,can you give me a clue to solve this problem,0,7,0.,0.,-1.,-0.3,-0.698,-0.476,-0.03507275,-0.77777778,1,:),True,0.1,3,True,4,3,3,13,"11-11-2020-12:14:26-PST
"
430,233,hmmm,0,7,0.,0.,-1.,-0.3,-1.,-1.,-0.17455017,-0.77777778,0,"By sliding the chocolate along the height of the box and using the chocolate as a reference, you will find that the height fits 3 chocolates.",True,0.11,3,True,4,3,3,13,"11-11-2020-12:14:26-PST
"
431,233,hmmm,1,10,0.,0.,-0.66666667,0.,-1.,-1.,-0.17455017,-0.77777778,0,You can move your mouse close to the box to turn it into a chocolate!,None,0.01,3,True,4,3,3,13,"11-11-2020-12:14:26-PST
"
432,233,I'm stuck,0,7,0.,0.,-1.,-0.3,-1.,0.334,1.,-0.77777778,2,"This problem is tough, but I know that we can finish it if we think hard enough. Keep trying!",True,0.1,3,True,4,3,3,13,"11-11-2020-12:14:26-PST
"
433,233,can you help me please,1,10,0.,0.,-0.66666667,0.,0.25,-1.,1.,-0.77777778,2,I’m so glad you’re here to help. I know you can solve this problem!,True,0.1,3,True,4,3,3,13,"11-11-2020-12:14:26-PST
"
434,233,help,1,10,0.,0.,-0.66666667,0.,1.,-1.,1.,-0.77777778,0,Move your mouse along the width to count how many chocolates would fit along the width.,None,0.01,3,True,4,3,3,13,"11-11-2020-12:14:26-PST
"
435,233,ha,1,10,0.,0.,-0.66666667,0.,1.,-1.,-0.38638868,-0.77777778,3,Hm... let's keep thinking!,True,0.1,3,True,4,3,3,13,"11-11-2020-12:14:26-PST
"
436,233,help,3,2,0.,0.,0.,-0.8,1.,-1.,1.,-0.77777778,1,:),None,0.0,3,True,4,3,3,13,"11-11-2020-12:14:26-PST
"
437,233,I am confused,,,0.,0.,0.,-0.8,-1.,0.394,1.,-0.77777778,2,"You’ve just about got it. Don’t give up, yet!",None,2.936,3,True,4,3,3,13,"11-11-2020-12:14:26-PST
"
438,209,hint please,3,11,1.,-0.5,0.,0.1,0.394,-1.,1.,-0.16666667,0,"You can fit 3 chocolates along the height, 5 chocolates along the width, and 6 chocolates along the length of the box.",None,0.01,4,True,2,4,3,24,"11-11-2020-16:50:39-PST
"
439,209,I need help,,,1.,-0.5,0.,0.1,0.46,-1.,1.,-0.16666667,2,You’re doing awesome! We’re so close to figuring this out and convincing the captain to let us board the boat.,None,2.988,4,True,2,4,3,24,"11-11-2020-16:50:39-PST
"
440,208,i need help,0,12,1.,0.,-1.,0.2,0.46,-1.,1.,-0.11111111,1,:),True,0.1,4,True,4,4,0,25,"11-11-2020-16:51:10-PST
"
441,208,help,0,12,1.,0.,-1.,0.2,1.,-1.,1.,-0.11111111,0,You can move your mouse close to the box to turn it into a chocolate!,True,0.11,4,True,4,4,0,25,"11-11-2020-16:51:10-PST
"
442,208,i did,0,12,1.,0.,-1.,0.2,-1.,-1.,-0.03631976,-0.11111111,0,Move your mouse along the height to count how many chocolates would fit along the height.,None,0.01,4,True,4,4,0,25,"11-11-2020-16:51:10-PST
"
443,208,help,3,8,1.,0.,0.,-0.2,1.,-1.,1.,-0.11111111,2,You’re doing a great job so far. Just keep trying!,None,0.0,4,True,4,4,0,25,"11-11-2020-16:51:10-PST
"
444,208,help,3,8,1.,0.,0.,-0.2,1.,-1.,1.,-0.11111111,0,"You can fit 3 chocolates along the height, 5 chocolates along the width, and 6 chocolates along the length of the box.",None,0.01,4,True,4,4,0,25,"11-11-2020-16:51:10-PST
"
445,208,help,3,8,1.,0.,0.,-0.2,1.,-1.,1.,-0.11111111,2,I’m so glad you’re here to help. I know you can solve this problem!,True,0.1,4,True,4,4,0,25,"11-11-2020-16:51:10-PST
"
446,208,no help,3,8,1.,0.,0.,-0.2,0.102,-0.102,1.,-0.11111111,1,:),True,0.1,4,True,4,4,0,25,"11-11-2020-16:51:10-PST
"
447,208,help',3,8,1.,0.,0.,-0.2,1.,-1.,1.,-0.11111111,2,"You’re doing a great job. If we keep working like this, we’ll be done in no time!",None,0.0,4,True,4,4,0,25,"11-11-2020-16:51:10-PST
"
448,208,help,,,1.,0.,0.33333333,-0.3,1.,-1.,1.,-0.11111111,0,"To calculate the weight of the box of chocolates, you can multiply the weight of each chocolate and the total number of chocolates you have in the box.",None,-0.04100000000000001,4,True,4,4,0,25,"11-11-2020-16:51:10-PST
"
449,210,ok thanks!,,,1.,-0.75,0.,-0.9,1.,-1.,-0.1063473,-0.44444444,0,"You can fit 3 chocolates along the height, 5 chocolates along the width, and 6 chocolates along the length of the box.",True,4.098,4,True,1,5,4,19,"11-11-2020-17:15:44-PST
"
450,212,How many chocolates are there?,0,1,0.,0.,-1.,-0.9,-1.,-1.,1.,-0.05555556,2,"This problem is tough, but I know that we can finish it if we think hard enough. Keep trying!",None,0.0,3,True,4,5,3,26,"11-11-2020-17:34:21-PST
"
451,212,how do I type my answer?,,,0.,0.,-1.,-0.9,-1.,-1.,1.,-0.05555556,2,"If we put our minds together, we can figure this problem out!",True,3.101,3,True,4,5,3,26,"11-11-2020-17:34:21-PST
"
452,213,can i have pointers?,0,5,-1.,-0.25,-1.,-0.5,-1.,-1.,1.,-0.88888889,2,The people in the village need you! Keep working hard.,True,0.1,2,True,3,8,5,11,"11-11-2020-18:11:04-PST
"
453,213,help?,,,-1.,-0.25,0.,1.3,1.,-1.,1.,-0.88888889,2,I know we can do this together. Keep thinking!,None,5.001,2,True,3,8,5,11,"11-11-2020-18:11:04-PST
"
454,214,no,2,5,-1.,-1.,-0.33333333,-0.5,-1.,1.,-0.06320011,-0.77777778,1,:),None,0.0,2,True,0,4,4,13,"11-11-2020-18:39:02-PST
"
455,214,whats lengs mean,2,5,-1.,-1.,-0.33333333,-0.5,-1.,-1.,-0.07616984,-0.77777778,2,We need to solve this problem to stop the natural disaster. I believe in you!,None,0.0,2,True,0,4,4,13,"11-11-2020-18:39:02-PST
"
456,214,not helpful,2,5,-1.,-1.,-0.33333333,-0.5,-1.,0.4,1.,-0.77777778,1,:),None,0.0,2,True,0,4,4,13,"11-11-2020-18:39:02-PST
"
457,214,no,2,5,-1.,-1.,-0.33333333,-0.5,-1.,1.,-0.06320011,-0.77777778,3,Hm... let's keep thinking!,None,0.0,2,True,0,4,4,13,"11-11-2020-18:39:02-PST
"
458,214,no,2,5,-1.,-1.,-0.33333333,-0.5,-1.,1.,-0.06320011,-0.77777778,2,"You’re doing a great job. If we keep working like this, we’ll be done in no time!",None,0.0,2,True,0,4,4,13,"11-11-2020-18:39:02-PST
"
459,214,tell me what length means,2,5,-1.,-1.,-0.33333333,-0.5,-1.,-1.,1.,-0.77777778,0,You can move your mouse close to the box to turn it into a chocolate!,None,0.01,2,True,0,4,4,13,"11-11-2020-18:39:02-PST
"
460,214,not helpful,,,-1.,-1.,-0.33333333,-0.5,-1.,0.4,1.,-0.77777778,0,Move your mouse along the length to count how many chocolates would fit along the length.,None,3.9850000000000003,2,True,0,4,4,13,"11-11-2020-18:39:02-PST
"
461,215,how do I unhelpful it,0,1,0.,-0.25,-1.,-0.9,-1.,-1.,1.,-0.16666667,2,I love a good challenge. Let’s regroup and think about this some more.,None,0.0,3,True,3,7,4,24,"11-11-2020-18:50:13-PST
"
462,215,help!,2,5,0.,-0.25,-0.33333333,-0.5,1.,-1.,1.,-0.16666667,3,Hm... let's keep thinking!,None,0.0,3,True,3,7,4,24,"11-11-2020-18:50:13-PST
"
463,215,do I times it?,3,4,0.,-0.25,0.,-0.6,-1.,-1.,1.,-0.16666667,2,We’re almost there! We’re so close to getting to cross the river and saving the villagers from the fire.,None,0.0,3,True,3,7,4,24,"11-11-2020-18:50:13-PST
"
464,215,what does it mean when it asks me the height?,0,1,0.,-0.25,-1.,-0.9,-1.,-1.,1.,-0.16666667,2,"You’ve just about got it. Don’t give up, yet!",True,0.1,3,True,3,7,4,24,"11-11-2020-18:50:13-PST
"
465,215,what is length?,2,5,0.,-0.25,-0.33333333,-0.5,-1.,-1.,1.,-0.16666667,2,We need to solve this problem to stop the natural disaster. I believe in you!,None,0.0,3,True,3,7,4,24,"11-11-2020-18:50:13-PST
"
466,215,ok,,,0.,-0.25,0.66666667,-0.9,1.,-1.,-0.1063473,-0.16666667,3,Hm... let's keep thinking!,None,4.001,3,True,3,7,4,24,"11-11-2020-18:50:13-PST
"
467,211,mmh,,,0.,1.,-1.,-0.9,-1.,-1.,-0.40172555,-0.88888889,0,You can move your mouse close to the box to turn it into a chocolate!,True,0.098,3,True,8,8,0,11,"11-11-2020-19:46:19-PST
"
468,219,thanks!,4,1,1.,0.,0.33333333,-0.9,1.,-1.,-0.15282053,-0.77777778,0,"To calculate the weight of the box of chocolates, you can multiply the weight of each chocolate and the total number of chocolates you have in the box.",True,0.11,4,True,4,7,4,13,"11-12-2020-10:23:26-PST
"
469,219,Thanks Princess Peacock,3,3,1.,0.,0.,-0.7,0.184,-1.,-0.15282053,-0.77777778,2,You’re super close! Let’s think about this a little more and try again.,True,0.1,4,True,4,7,4,13,"11-12-2020-10:23:26-PST
"
470,219,I need your help Princess peacock,,,1.,0.,0.,-0.7,-0.194,-1.,1.,-0.77777778,0,"You can fit 3 chocolates along the height, 5 chocolates along the width, and 6 chocolates along the length of the box.",None,3.9850000000000003,4,True,4,7,4,13,"11-12-2020-10:23:26-PST
"
471,234,how wide were the chokolates,0,8,1.,0.25,-1.,-0.2,-1.,-1.,1.,-0.77777778,2,"Hey, let’s think this through together. I know we can do it!",True,0.1,4,True,5,8,3,13,"11-12-2020-16:17:44-PST
"
472,234,anything else,0,8,1.,0.25,-1.,-0.2,-1.,-1.,-0.02486803,-0.77777778,0,You can move your mouse close to the box to turn it into a chocolate!,None,0.01,4,True,5,8,3,13,"11-12-2020-16:17:44-PST
"
473,234,can you help pleas,0,8,1.,0.25,-1.,-0.2,-0.052,-1.,1.,-0.77777778,0,Move your mouse along the height to count how many chocolates would fit along the height.,None,0.01,4,True,5,8,3,13,"11-12-2020-16:17:44-PST
"
474,234,yes pleas,0,8,1.,0.25,-1.,-0.2,0.46,-1.,-0.08166112,-0.77777778,0,"By sliding the chocolate along the height of the box and using the chocolate as a reference, you will find that the height fits 3 chocolates.",True,0.11,4,True,5,8,3,13,"11-12-2020-16:17:44-PST
"
475,234,am I finding the volume,0,8,1.,0.25,-1.,-0.2,-1.,-1.,-0.03631976,-0.77777778,0,You have seen all the hints. Try your best to answer the question!,True,0.11,4,True,5,8,3,13,"11-12-2020-16:17:44-PST
"
476,234,what about the lid,0,8,1.,0.25,-1.,-0.2,-1.,-1.,1.,-0.77777778,1,:),None,0.0,4,True,5,8,3,13,"11-12-2020-16:17:44-PST
"
477,234,I give up,,,1.,0.25,-1.,-0.2,-1.,-1.,-0.03631976,-0.77777778,0,You have seen all the hints. Try your best to answer the question!,None,2.9459999999999997,4,True,5,8,3,13,"11-12-2020-16:17:44-PST
"
478,238,so is the problem like 90 x 2 ounces?,4,1,1.,0.75,0.33333333,-0.9,-0.522,-0.434,-0.03305731,-0.44444444,0,"To calculate the weight of the box of chocolates, you can multiply the weight of each chocolate and the total number of chocolates you have in the box.",True,0.11,4,True,7,8,1,19,"11-12-2020-16:18:02-PST
"
479,238,"ok, thanks",,,1.,0.75,0.,-0.9,1.,-1.,-0.1063473,-0.44444444,0,"You can fit 3 chocolates along the height, 5 chocolates along the width, and 6 chocolates along the length of the box.",True,1.085,4,True,7,8,1,19,"11-12-2020-16:18:02-PST
"
480,235,hello,,,0.,1.,-1.,-0.9,-1.,-1.,-0.27493058,-0.5,2,We need to solve this problem to stop the natural disaster. I believe in you!,True,0.101,3,True,8,8,0,18,"11-12-2020-16:35:31-PST
"
481,236,No thanks,,,-1.,0.,0.33333333,-0.8,0.138,-0.138,-0.06320011,0.05555556,1,:),True,4.101,2,True,4,8,4,28,"11-12-2020-17:20:54-PST
"
482,241,okay,,,1.,1.,-0.66666667,-0.8,1.,-1.,-0.15501975,-0.77777778,3,Hm... let's keep thinking!,True,0.101,4,True,8,8,0,13,"11-13-2020-11:50:43-PST
"
483,242,How many chocolates do you think can fit in the box?,0,4,1.,1.,-1.,-0.6,-0.6,-1.,1.,-0.66666667,2,You’re almost there. Just keep trying!,None,0.0,4,True,8,8,0,15,"11-13-2020-12:07:40-PST
"
484,242,How many chocolates do you think can fit in the box?,,,1.,1.,-1.,-0.6,-0.6,-1.,1.,-0.66666667,3,Hm... let's keep thinking!,None,0.001,4,True,8,8,0,15,"11-13-2020-12:07:40-PST
"
485,191,there are six one the bottom and three going up,,,0.,-0.75,-1.,-0.8,-1.,-1.,-0.05513746,-0.83333333,0,You can move your mouse close to the box to turn it into a chocolate!,True,0.098,3,True,1,0,0,12,"11-13-2020-15:21:51-PST
"
486,243,ok,,,1.,-0.25,-1.,-0.9,1.,-1.,-0.1063473,-0.88888889,0,You can move your mouse close to the box to turn it into a chocolate!,True,3.098,4,True,3,6,3,11,"11-14-2020-13:51:33-PST
"
487,249,How much do we weigh together,,,0.,1.,0.66666667,-0.8,-1.,-1.,1.,-0.66666667,2,"This problem is tough, but I know that we can finish it if we think hard enough. Keep trying!",True,0.101,3,True,8,8,0,15,"11-14-2020-21:04:20-PST
"
488,254,can we think of somthing together?,3,3,-1.,0.,0.,-0.7,-1.,-1.,-0.02507096,-0.61111111,1,:),None,0.0,2,False,4,4,0,16,"11-15-2020-12:17:38-PST
"
489,254,thanks,1,1,-1.,0.,-0.66666667,-0.9,1.,-1.,-0.15282053,-0.61111111,3,Hm... let's keep thinking!,None,0.0,2,False,4,4,0,16,"11-15-2020-12:17:38-PST
"
490,254,ok i forgot what length means,2,7,-1.,0.,-0.33333333,-0.3,-0.29,-1.,1.,-0.61111111,2,You’re doing awesome! We’re so close to figuring this out and convincing the captain to let us board the boat.,True,0.1,2,False,4,4,0,16,"11-15-2020-12:17:38-PST
"
491,254,can we brainsrorm?,2,7,-1.,0.,-0.33333333,-0.3,-1.,-1.,-0.03161268,-0.61111111,2,"This problem is tough, but I know that we can finish it if we think hard enough. Keep trying!",None,0.0,2,False,4,4,0,16,"11-15-2020-12:17:38-PST
"
